code,name,type,entry_date,entry_price,status,exit_date,exit_price,return_pct
2502,アサヒグループホールディングス,SELL,2026-09-15,1621.0,open,,,
2503,キリンホールディングス,SELL,2026-09-15,2831.0,open,,,
2871,ニチレイ,BUY,2026-09-15,2189.5,open,,,
3086,J.フロント リテイリング,SELL,2026-09-15,2633.5,open,,,
3092,ZOZO,SELL,2026-09-15,1155.0,open,,,
4502,武田薬品工業,SELL,2026-09-15,5876.0,open,,,
4902,コニカミノルタ,SELL,2026-09-15,623.5,open,,,
5019,出光興産,BUY,2026-09-15,1591.5,open,,,
5706,三井金属,SELL,2026-09-15,22950.0,open,,,
5714,DOWAホールディングス,SELL,2026-09-15,8918.0,open,,,
6753,シャープ,BUY,2026-09-15,668.8,open,,,
7004,カナデビア,SELL,2026-09-15,1161.0,open,,,
7186,横浜フィナンシャルグループ,SELL,2026-09-15,1898.0,open,,,
7272,ヤマハ発動機,SELL,2026-09-15,1754.0,open,,,
8233,高島屋,SELL,2026-09-15,2098.0,open,,,
8630,SOMPOホールディングス,SELL,2026-09-15,6826.0,open,,,
9432,NTT,SELL,2026-09-15,178.1,open,,,
1801,大成建設,SELL,2026-09-16,12595.0,open,,,
2768,双日,SELL,2026-09-16,5819.0,open,,,
4661,オリエンタルランド,BUY,2026-09-16,3005.0,open,,,
9107,川崎汽船,SELL,2026-09-16,3481.0,open,,,
1721,コムシスホールディングス,SELL,2026-09-16,5494.0,open,,,
4568,第一三共,BUY,2026-09-16,2809.0,open,,,
5406,神戸製鋼所,SELL,2026-09-16,2049.5,open,,,
5411,JFEホールディングス,SELL,2026-09-16,1859.5,open,,,
5214,日本電気硝子,SELL,2026-09-16,4783.0,open,,,
6501,日立製作所,SELL,2026-09-16,5397.0,open,,,
4385,メルカリ,BUY,2026-09-16,3637.0,open,,,
6902,デンソー,BUY,2026-09-16,1915.0,open,,,
2269,明治ホールディングス,BUY,2026-09-16,4310.0,open,,,
6526,ソシオネクスト,SELL,2026-09-16,1904.5,closed,2026-09-24,2199.0,-15.46
7211,三菱自動車,BUY,2026-09-16,360.2,open,,,
9001,東武鉄道,BUY,2026-09-16,2985.5,open,,,
2802,味の素,SELL,2026-09-16,4867.0,open,,,
4452,花王,BUY,2026-09-16,3424.0,open,,,
5108,ブリヂストン,BUY,2026-09-16,3699.0,open,,,
1332,ニッスイ,BUY,2026-09-16,1189.5,open,,,
1802,大林組,BUY,2026-09-16,3072.0,open,,,
1803,清水建設,BUY,2026-09-16,2374.0,open,,,
1812,鹿島,BUY,2026-09-16,4951.0,open,,,
1925,大和ハウス工業,BUY,2026-09-16,4567.0,open,,,
2002,日清製粉グループ本社,BUY,2026-09-16,2056.5,open,,,
2914,JT,BUY,2026-09-16,6781.0,open,,,
3099,三越伊勢丹ホールディングス,SELL,2026-09-16,3279.0,open,,,
3289,東急不動産ホールディングス,BUY,2026-09-16,1283.5,open,,,
3405,クラレ,SELL,2026-09-16,1823.5,open,,,
3407,旭化成,SELL,2026-09-16,1592.0,open,,,
4021,日産化学,SELL,2026-09-16,8174.0,open,,,
4061,デンカ,SELL,2026-09-16,3357.0,open,,,
4188,三菱ケミカルグループ,SELL,2026-09-16,1202.0,open,,,
5201,AGC,SELL,2026-09-16,5614.0,open,,,
6103,オークマ,SELL,2026-09-16,4450.0,open,,,
6178,日本郵政,BUY,2026-09-16,2507.5,open,,,
6302,住友重機械工業,SELL,2026-09-16,5728.0,open,,,
6724,セイコーエプソン,SELL,2026-09-16,3170.0,open,,,
6952,カシオ計算機,SELL,2026-09-16,2152.0,open,,,
6988,日東電工,SELL,2026-09-16,3348.0,open,,,
7269,スズキ,SELL,2026-09-16,2035.0,open,,,
7731,ニコン,SELL,2026-09-16,1739.5,open,,,
7741,HOYA,SELL,2026-09-16,22425.0,open,,,
7762,シチズン時計,SELL,2026-09-16,2275.0,open,,,
7951,ヤマハ,SELL,2026-09-16,1264.0,open,,,
7974,任天堂,BUY,2026-09-16,8104.0,open,,,
8002,丸紅,BUY,2026-09-16,4992.0,open,,,
8035,東京エレクトロン,SELL,2026-09-16,51610.0,open,,,
8053,住友商事,BUY,2026-09-16,1777.0,open,,,
8308,りそなホールディングス,BUY,2026-09-16,2453.5,open,,,
8309,三井住友トラストグループ,BUY,2026-09-16,1779.0,open,,,
8601,大和証券グループ本社,BUY,2026-09-16,1828.0,open,,,
8604,野村ホールディングス,BUY,2026-09-16,1636.5,open,,,
8795,T&Dホールディングス,BUY,2026-09-16,4972.0,open,,,
8801,三井不動産,BUY,2026-09-16,1468.5,open,,,
9020,東日本旅客鉄道,BUY,2026-09-16,3505.0,open,,,
9022,東海旅客鉄道,BUY,2026-09-16,3801.0,open,,,
9147,NIPPON EXPRESSホールディングス,SELL,2026-09-16,5498.0,open,,,
9301,三菱倉庫,BUY,2026-09-16,1538.5,open,,,
9501,東京電力ホールディングス,SELL,2026-09-16,544.0,open,,,
9502,中部電力,BUY,2026-09-16,2930.5,open,,,
9503,関西電力,BUY,2026-09-16,2933.5,open,,,
9531,東京ガス,BUY,2026-09-16,6401.0,open,,,
9766,コナミグループ,SELL,2026-09-16,20720.0,open,,,
9983,ファーストリテイリング,SELL,2026-09-16,67380.0,open,,,
6504,富士電機,SELL,2026-09-17,13010.0,open,,,
8252,丸井グループ,SELL,2026-09-17,2917.0,open,,,
3861,王子ホールディングス,BUY,2026-09-17,882.3,open,,,
4755,楽天グループ,BUY,2026-09-17,715.8,open,,,
2501,サッポロホールディングス,SELL,2026-09-17,1903.5,open,,,
4689,LINEヤフー,BUY,2026-09-17,553.4,open,,,
6762,TDK,BUY,2026-09-17,2814.0,open,,,
5631,日本製鋼所,BUY,2026-09-17,7469.0,open,,,
6471,日本精工,BUY,2026-09-17,1072.0,open,,,
8830,住友不動産,SELL,2026-09-17,3237.0,open,,,
1808,長谷工コーポレーション,SELL,2026-09-17,2777.0,open,,,
2413,エムスリー,SELL,2026-09-17,1787.0,open,,,
2801,キッコーマン,SELL,2026-09-17,1680.0,open,,,
3401,帝人,SELL,2026-09-17,1734.5,open,,,
4151,協和キリン,SELL,2026-09-17,2263.0,open,,,
4507,塩野義製薬,SELL,2026-09-17,2981.5,open,,,
4578,大塚ホールディングス,SELL,2026-09-17,11290.0,open,,,
5101,横浜ゴム,BUY,2026-09-17,6818.0,open,,,
6273,SMC,BUY,2026-09-17,66370.0,open,,,
6305,日立建機,BUY,2026-09-17,5677.0,open,,,
6971,京セラ,BUY,2026-09-17,3556.0,open,,,
7751,キヤノン,SELL,2026-09-17,4524.0,open,,,
8001,伊藤忠商事,BUY,2026-09-17,2359.0,open,,,
9007,小田急電鉄,SELL,2026-09-17,1847.5,open,,,
9008,京王電鉄,SELL,2026-09-17,804.1,open,,,
9602,東宝,BUY,2026-09-17,1616.0,open,,,
9735,セコム,SELL,2026-09-17,6508.0,open,,,
9843,ニトリホールディングス,SELL,2026-09-17,3122.0,open,,,
3436,SUMCO,BUY,2026-09-17,2857.0,closed,2026-09-24,3168.0,10.89
4503,アステラス製薬,SELL,2026-09-17,2358.0,open,,,
6326,クボタ,SELL,2026-09-17,2774.5,open,,,
7012,川崎重工業,BUY,2026-09-17,2420.0,open,,,
7013,IHI,BUY,2026-09-17,2843.0,open,,,
7267,ホンダ,BUY,2026-09-17,1701.5,open,,,
